bankName,totalAssets,totalLoans,loansCI_US,loansCI_foreign,cdsSold,cdsBought,year,quarter,totalCI,cdsNetBuy,date,mon,leverage,loansCI_to_totalAssets,loansCI_to_totalLoans,netCDS_to_loansCI
KEYCORP,89884477,59331272,20153390,641157,11090,514173,2014,3,20794547,503083,2014-09-01,9,0.6600836315707772,0.22421435460986217,0.3396756772718441,0.024962698583216026
"PNC FINANCIAL SERVICES GROUP, INC., THE",334602342,203149582,60616645,2268429,0,11e4,2014,3,62885074,11e4,2014-09-01,9,0.6071373582914132,0.18116025320587864,0.2983842959617805,0.001814683079210339
BANK OF AMERICA CORPORATION,2126138e3,923146000,149843000,58176000,1163586e3,1194966e3,2014,3,208019000,3138e4,2014-09-01,9,0.43418912601157594,0.07047661064333548,0.1623177698868868,0.20941919208771848
BB&T CORPORATION,187021509,120689976,18077381,397890,0,0,2014,3,18475271,0,2014-09-01,9,0.6453267148004885,0.09665936873603131,0.1497836158323538,0
"BBVA COMPASS BANCSHARES, INC.",79187065,55200115,15740238,683901,0,0,2014,3,16424139,0,2014-09-01,9,0.6970849974045635,0.19877284250906382,0.28514864507075754,0
HANCOCK HOLDING COMPANY,19996647,13363683,4360946,5498,0,0,2014,3,4366444,0,2014-09-01,9,0.6682961898562294,0.21808386175942396,0.326328153698348,0
"COMMERCE BANCSHARES, INC.",741580,493252,83266,0,0,0,2014,3,83266,0,2014-09-01,9,0.6651366002319372,0.11228188462472019,0.16881026331368146,0
STATE STREET CORPORATION,274815393,18397974,1715338,48402,0,1195,2014,3,1763740,1195,2014-09-01,9,0.06694666481072988,0.006241782824734275,0.0932351573059077,6.966557028410727e-4
UNIVEST CORPORATION OF PENNSYLVANIA,2222196,1599892,375779,0,0,0,2014,3,375779,0,2014-09-01,9,0.7199598955267672,0.16910254541003583,0.23487772924672415,0
U.S. BANCORP,391284e3,248286000,58440000,1003000,2e5,255e3,2014,3,59443000,55e3,2014-09-01,9,0.634541662833134,0.1493544330971877,0.2353737222396752,9.411362080766598e-4
WELLS FARGO & COMPANY,1636855e3,866478000,150921000,8602000,6959e3,7798e3,2014,3,159523000,839e3,2014-09-01,9,0.5293553796762694,0.09220181384423178,0.17417753249361206,0.0055591998462771915
"POPULAR, INC.",34099e3,23176000,1890000,16000,0,0,2014,3,1906000,0,2014-09-01,9,0.6796680254552919,0.05542684536203408,0.08154987918536417,0
"SUNTRUST BANKS, INC.",186860815,133919642,38704500,1496703,0,587100,2014,3,40201203,587100,2014-09-01,9,0.7166812474835883,0.2071301037619899,0.2890128693743073,0.015168778824167733
"CITIZENS FINANCIAL GROUP, INC.",131520691,90972198,23859975,475252,0,0,2014,3,24335227,0,2014-09-01,9,0.6916949516331237,0.18141613170204526,0.2622776576201885,0
MERCANTIL COMMERCEBANK HOLDING CORPORATION,7794680,5068397,1655262,675063,0,0,2014,3,2330325,0,2014-09-01,9,0.6502379828293143,0.21235791591187836,0.32658491432300985,0
ASSOCIATED BANC-CORP,25653822,17300762,5190797,1079,0,0,2014,3,5191876,0,2014-09-01,9,0.6743931567000037,0.20234010355260124,0.30003285404423224,0
NORTHERN TRUST CORPORATION,111153721,30719901,5727641,141763,0,0,2014,3,5869404,0,2014-09-01,9,0.27637312294745403,0.05152900819217739,0.1864472479908057,0
COMERICA INCORPORATED,68949210,47711812,26387849,1526998,0,0,2014,3,27914847,0,2014-09-01,9,0.6919848972888885,0.38271430521103866,0.553067424896795,0
SWORD FINANCIAL CORPORATION,587368,523484,74665,0,3800,0,2014,3,74665,-3800,2014-09-01,9,0.8912368395963007,0.12711792266517755,0.1426309113554569,-0.05089399316949039
BMO FINANCIAL CORP.,119791374,58227534,16435426,259454,0,39289,2014,3,16694880,39289,2014-09-01,9,0.48607451484778863,0.1372004131115484,0.282262099576465,0.00239050694518049
