bankName,totalAssets,totalLoans,loansCI_US,loansCI_foreign,cdsSold,cdsBought,year,quarter,totalCI,cdsNetBuy,date,mon,leverage,loansCI_to_totalAssets,loansCI_to_totalLoans,netCDS_to_loansCI
MERCANTIL COMMERCEBANK HOLDING CORPORATION,6792123,3923623,805986,489368,0,0,2011,1,1295354,0,2011-03-01,3,0.5776725480383674,0.11866481216550406,0.20541881827076658,0
ASSOCIATED BANC-CORP,21473565,12740815,2575901,541,58475,0,2011,1,2576442,-58475,2011-03-01,3,0.5933255609862638,0.11995683995647671,0.2021770977759272,-0.022700794789861877
NORTHERN TRUST CORPORATION,92679160,27893074,4644362,404462,0,145500,2011,1,5048824,145500,2011-03-01,3,0.3009638196979774,0.050112258246622,0.1665059218643309,0.031328307311101075
COMERICA INCORPORATED,55237678,39200540,19966763,1241335,0,0,2011,1,21208098,0,2011-03-01,3,0.709670308733832,0.361469991551781,0.5093491824347318,0
SWORD FINANCIAL CORPORATION,515493,467305,58367,0,5200,0,2011,1,58367,-5200,2011-03-01,3,0.906520554110337,0.11322559181210996,0.1249012957276297,-0.0890914386554046
BANK LEUMI LE-ISRAEL CORPORATION,5103788,3581535,2296117,219843,0,0,2011,1,2515960,0,2011-03-01,3,0.7017405503520131,0.44988486982609777,0.6410985792404653,0
TD BANK US HOLDING COMPANY,184196623,68071955,11503862,433554,87544,1526693,2011,1,11937416,1439149,2011-03-01,3,0.369561362696644,0.06245425031489312,0.16899561647671202,0.12510137899776613
UNIONBANCAL CORPORATION,80641792,48129253,12189192,853186,0,0,2011,1,13042378,0,2011-03-01,3,0.5968276721826816,0.1511522958219976,0.25325953012401836,0
"AMERICAN CHARTERED BANCORP, INC.",2322323,1615489,457889,0,4100,0,2011,1,457889,-4100,2011-03-01,3,0.695634931058255,0.197168524791771,0.2834367798233228,-0.008954135172498138
"JOHNSON FINANCIAL GROUP, INC.",4563297,3362006,561079,0,0,0,2011,1,561079,0,2011-03-01,3,0.7367493283912925,0.12295474083760054,0.16688816141315632,0
ALLY FINANCIAL INC.,173704e3,114955000,29152000,10882000,15e3,4e4,2011,1,40034000,25e3,2011-03-01,3,0.6617867176345967,0.16782572652328098,0.2535948849549824,8.575740944017563e-4
BOK FINANCIAL CORPORATION,23718338,10691416,3907176,0,0,0,2011,1,3907176,0,2011-03-01,3,0.45076581672796806,0.1647322843615771,0.36544981506659174,0
CITIGROUP INC.,1947815e3,665807000,25586000,89057000,1296992e3,1378082e3,2011,1,114643000,8109e4,2011-03-01,3,0.34182250367719724,0.013135744411045197,0.03842855361989285,3.169311342140233
MORGAN STANLEY,836185e3,50307000,9441000,5806000,2316725e3,2361577e3,2011,1,15247000,44852e3,2011-03-01,3,0.06016252384340786,0.01129056369104923,0.1876677201979844,4.750767927126364
"UTRECHT-AMERICA HOLDINGS, INC.",44252195,26037422,14659596,36520,0,747e3,2011,1,14696116,747e3,2011-03-01,3,0.5883871297231696,0.3312738724033915,0.5630202559992307,0.05095638379120407
"GOLDMAN SACHS GROUP, INC., THE",933471e3,53279000,652000,99000,203877e4,2217801e3,2011,1,751000,179031e3,2011-03-01,3,0.05707622411408603,6.984684044817675e-4,0.012237466919424164,274.58742331288346
TAUNUS CORPORATION,396741e3,57879000,2844000,24000,8015e3,11391e3,2011,1,2868000,3376e3,2011-03-01,3,0.14588610705724894,0.007168404576285284,0.04913699269164982,1.1870604781997187
"METLIFE, INC.",751340972,82851682,6081108,1519553,6099443,5913410,2011,1,7600661,-186033,2011-03-01,3,0.11027174756549814,0.00809367281517026,0.07339752016138912,-0.030591957912932972
F.N.B. CORPORATION,9755281,6566206,1095547,0,0,0,2011,1,1095547,0,2011-03-01,3,0.6730924511554306,0.1123029669775786,0.16684627317510295,0
RBC USA HOLDCO CORPORATION,85039741,21082496,3181113,0,0,0,2011,1,3181113,0,2011-03-01,3,0.24791345495748865,0.03740736933806042,0.15088882265173914,0
HSBC NORTH AMERICA HOLDINGS INC.,368635927,135825496,11190024,3113028,346611847,335134629,2011,1,14303052,-11477218,2011-03-01,3,0.3684543096636373,0.030355218198794824,0.08238529826535661,-1.0256651817726217
REGIONS FINANCIAL CORPORATION,131798824,82989291,15930381,11541,0,0,2011,1,15941922,0,2011-03-01,3,0.6296663997548263,0.12086891609897825,0.1919570682921005,0
"BANK OF NEW YORK MELLON CORPORATION, THE",266571e3,40263000,1755000,314000,2e3,619e3,2011,1,2069000,617e3,2011-03-01,3,0.15104043575632758,0.006583611870758635,0.04358840622904404,0.35156695156695156
MARSHALL & ILSLEY CORPORATION,49684719,35180101,9628429,0,4328,2682,2011,1,9628429,-1646,2011-03-01,3,0.7080668203034418,0.193790549565149,0.27368963494448184,-1.7095208366806256e-4
ZIONS BANCORPORATION,51363791,37080885,8790993,36429,301,0,2011,2,8827422,-301,2011-06-01,6,0.7219265610671144,0.17115156083397348,0.2370761377459033,-3.423959045354717e-5
JPMORGAN CHASE & CO.,2246764e3,723057000,79178000,25246000,297218e4,2951243e3,2011,2,104424000,-20937e3,2011-06-01,6,0.32182151752476007,0.03524090647704877,0.10950450656034033,-0.2644295132486297
"COMMERCE BANCSHARES, INC.",19590328,9279314,2026454,0,0,0,2011,2,2026454,0,2011-06-01,6,0.47366812847646045,0.10344155544511557,0.21838403140576987,0
KEYCORP,88858600,54481423,13749332,176300,1178721,1630706,2011,2,13925632,451985,2011-06-01,6,0.6131249310702622,0.15473271017099077,0.2523673436356462,0.0328732334050847
"PNC FINANCIAL SERVICES GROUP, INC., THE",263259894,153134017,41801568,1301479,163500,419500,2011,2,43103047,256e3,2011-06-01,6,0.5816838055856697,0.15878441400572774,0.27297375735921564,0.006124172184163044
BANK OF AMERICA CORPORATION,2264435837,981298120,123428039,43221932,1990530089,2065663926,2011,2,166649971,75133837,2011-06-01,6,0.43335214182975323,0.054507192026920746,0.12578036835533732,0.6087258422699238
BB&T CORPORATION,159309671,105350334,13674876,315194,0,0,2011,2,13990070,0,2011-06-01,6,0.6612927723640832,0.08583832930017161,0.1298038219793399,0
HANCOCK HOLDING COMPANY,19769027,11316134,2802274,10856,0,0,2011,2,2813130,0,2011-06-01,6,0.5724173476013766,0.14175072956296736,0.2476352789742504,0
STATE STREET CORPORATION,188984931,12932420,12159,12500,0,155e3,2011,2,24659,155e3,2011-06-01,6,0.0684309586566984,6.43384630492047e-5,9.401952612117454e-4,12.7477588617485
UNIVEST CORPORATION OF PENNSYLVANIA,2058377,1440809,419328,0,0,0,2011,2,419328,0,2011-06-01,6,0.6999733285010472,0.2037177834769821,0.29103649408075605,0
U.S. BANCORP,320874e3,200635000,36816000,558000,25e3,25e4,2011,2,37374000,225e3,2011-06-01,6,0.625276588318156,0.11473662559135361,0.1834973957684352,0.0061114732724902214
WELLS FARGO & COMPANY,1259734e3,784687000,130491000,4983000,40154e3,39127e3,2011,2,135474000,-1027e3,2011-06-01,6,0.6228989612092711,0.10358615390233177,0.16629688015731114,-0.00787027457832341
"BMO BANKCORP, INC.",94439718,51255246,11362518,18532,4060,3208,2011,3,11381050,-852,2011-09-01,9,0.5427297654573683,0.12031503524819928,0.22168497640222037,-7.49833795642832e-5
ZIONS BANCORPORATION,51531600,36992298,8995835,35968,301,0,2011,3,9031803,-301,2011-09-01,9,0.7178565773234288,0.17456929340443533,0.24318129682021916,-3.345992895601131e-5
JPMORGAN CHASE & CO.,228924e4,723481000,81671000,29029000,3033703e3,3027461e3,2011,3,110700000,-6242e3,2011-09-01,9,0.31603545281403433,0.035676032220300184,0.11288617116413562,-0.07642859766624628
"COMMERCE BANCSHARES, INC.",20651278,9114472,1878325,0,0,0,2011,3,1878325,0,2011-09-01,9,0.44135147471260616,0.09095441938266484,0.20608160297162578,0
KEYCORP,89405605,54659369,14287640,195966,1269010,1556874,2011,3,14483606,287864,2011-09-01,9,0.611364007882951,0.15980698301857027,0.26139416281955247,0.02014776408140183
"PNC FINANCIAL SERVICES GROUP, INC., THE",269555466,157112705,42855243,1311429,163500,33e4,2011,3,44166672,166500,2011-09-01,9,0.5828585386578656,0.1589848784591146,0.272767520615217,0.0038851722296849417
BANK OF AMERICA CORPORATION,2221386576,978108776,127623825,47787972,2005028064,2085254859,2011,3,175411797,80226795,2011-09-01,9,0.440314525426393,0.05745232566850625,0.13048019620263585,0.6286192644672732
BB&T CORPORATION,167676889,107448901,14093786,286674,0,0,2011,3,14380460,0,2011-09-01,9,0.6408092471228996,0.08405324123111564,0.1311673350665541,0
HANCOCK HOLDING COMPANY,19441637,11166111,2765053,10085,0,0,2011,3,2775138,0,2011-09-01,9,0.5743400620019806,0.14222326031496216,0.2476290088823226,0
STATE STREET CORPORATION,207175585,11740118,11898,12500,0,105e3,2011,3,24398,105e3,2011-09-01,9,0.056667478457946674,5.742954701925905e-5,0.0010134480760755557,8.825012607160867
UNIVEST CORPORATION OF PENNSYLVANIA,2174127,1438135,406425,0,0,0,2011,3,406425,0,2011-09-01,9,0.6614769974339125,0.18693710165045557,0.28260559683200814,0
U.S. BANCORP,330141e3,207703000,39276000,576000,75e3,338e3,2011,3,39852000,263e3,2011-09-01,9,0.6291342184097098,0.11896735031395676,0.18909693167648037,0.006696201242489052
WELLS FARGO & COMPANY,1304945e3,803553000,136717000,5609000,38167e3,37048e3,2011,3,142326000,-1119e3,2011-09-01,9,0.6157753775063317,0.10476840020077474,0.17014061300250263,-0.008184790479603854
"POPULAR, INC.",38179e3,25555000,2419000,36000,0,0,2011,3,2455000,0,2011-09-01,9,0.6693470232326671,0.06335943843474161,0.0946585795343377,0
"SUNTRUST BANKS, INC.",172583676,119742316,27947192,453606,177333,614333,2011,3,28400798,437e3,2011-09-01,9,0.6938217957531511,0.16193415650736284,0.2333944501290588,0.015636633548014412
"CITIZENS FINANCIAL GROUP, INC.",130660891,87163471,18001956,131071,0,0,2011,3,18133027,0,2011-09-01,9,0.6670968668046202,0.1377761613457848,0.20653096754258443,0
MERCANTIL COMMERCEBANK HOLDING CORPORATION,6765736,3957293,879461,597132,0,0,2011,3,1476593,0,2011-09-01,9,0.5849020712602443,0.12998748399287233,0.22223802988558086,0
ASSOCIATED BANC-CORP,21902649,13704649,2932064,2135,0,0,2011,3,2934199,0,2011-09-01,9,0.6257073744824199,0.13386800838565235,0.21394666875452265,0
NORTHERN TRUST CORPORATION,96098241,28697227,4281474,635949,0,85500,2011,3,4917423,85500,2011-09-01,9,0.2986238530630337,0.04455309436933398,0.14919469396816634,0.01996975807864301
COMERICA INCORPORATED,60991256,41258216,20794612,1015418,0,0,2011,3,21810030,0,2011-09-01,9,0.6764611635477715,0.34094415107634446,0.5040114192043592,0
SWORD FINANCIAL CORPORATION,505242,461085,52876,0,4800,0,2011,3,52876,-4800,2011-09-01,9,0.9126022777203795,0.10465479908637841,0.11467733715041695,-0.09077842499432635
BMO FINANCIAL CORP.,117917556,55114223,12977574,39479,4060,3208,2011,3,13017053,-852,2011-09-01,9,0.4673962458991263,0.11005633461399081,0.2354668775789509,-6.565171579834567e-5
BANK LEUMI LE-ISRAEL CORPORATION,5394808,3999496,2402096,396189,0,0,2011,3,2798285,0,2011-09-01,9,0.7413602115218929,0.4452607025124898,0.6005996755591204,0
